Serial                   pollinator              plant interactions
190      Helophilus.fasciatus      Aronia.melanocarpa            2
191      Helophilus.fasciatus     Ledum.groenlandicum            4
192      Helophilus.fasciatus     Gaylussacia.baccata            3
193      Helophilus.fasciatus     Kalmia.angustifolia            1
203         Helophilus.laetus      Aronia.melanocarpa            3
204         Helophilus.laetus     Ledum.groenlandicum            4
208         Helophilus.laetus            Spiraea.alba            3
214           Syritta.pipiens      Smilacina.trifolia            1
216           Syritta.pipiens      Aronia.melanocarpa           14
219           Syritta.pipiens     Kalmia.angustifolia            3
221           Syritta.pipiens            Spiraea.alba            1
233      Toxomerus.marginatus    Calopogon.pulchellus           14
237            Syrphus.torvus   Nemopanthus.mucronata            1
242            Syrphus.torvus      Aronia.melanocarpa           13
248            Apis.mellifera          Salix.fragilis            1
250            Apis.mellifera   Nemopanthus.mucronata            1
252            Apis.mellifera        Kalmia.polifolia            1
254            Apis.mellifera  Vaccinium.myrtilloides           20
257            Apis.mellifera     Gaylussacia.baccata            1
261          Bombus.terricola          Salix.fragilis            3
267          Bombus.terricola  Vaccinium.myrtilloides           14
269          Bombus.terricola     Ledum.groenlandicum           22
270          Bombus.terricola     Gaylussacia.baccata            7
273          Bombus.terricola            Spiraea.alba           36
275      Pyrobombus.impatiens Chamaedaphne.calyculata            1
277      Pyrobombus.impatiens  Andromeda.glaucophylla            2
278      Pyrobombus.impatiens        Kalmia.polifolia            1
280      Pyrobombus.impatiens  Vaccinium.myrtilloides           17
282      Pyrobombus.impatiens     Ledum.groenlandicum            5
283      Pyrobombus.impatiens     Gaylussacia.baccata            3
286      Pyrobombus.impatiens            Spiraea.alba            1
287      Pyrobombus.perplexus          Salix.fragilis            2
291      Pyrobombus.perplexus        Kalmia.polifolia            1
293      Pyrobombus.perplexus  Vaccinium.myrtilloides           14
294      Pyrobombus.perplexus      Aronia.melanocarpa            2
299      Pyrobombus.perplexus            Spiraea.alba            2
300     Pyrobombus.sandersoni          Salix.fragilis            2
301     Pyrobombus.sandersoni Chamaedaphne.calyculata            1
304     Pyrobombus.sandersoni        Kalmia.polifolia            1
306     Pyrobombus.sandersoni  Vaccinium.myrtilloides            7
307     Pyrobombus.sandersoni      Aronia.melanocarpa            2
308     Pyrobombus.sandersoni     Ledum.groenlandicum            3
309     Pyrobombus.sandersoni     Gaylussacia.baccata           14
310     Pyrobombus.sandersoni     Kalmia.angustifolia            2
312     Pyrobombus.sandersoni            Spiraea.alba            2
313      Pyrobombus.ternarius          Salix.fragilis            2
314      Pyrobombus.ternarius Chamaedaphne.calyculata            1
315      Pyrobombus.ternarius   Nemopanthus.mucronata            1
316      Pyrobombus.ternarius  Andromeda.glaucophylla            1
317      Pyrobombus.ternarius        Kalmia.polifolia            3
319      Pyrobombus.ternarius  Vaccinium.myrtilloides           16
320      Pyrobombus.ternarius      Aronia.melanocarpa            1
321      Pyrobombus.ternarius     Ledum.groenlandicum            9
322      Pyrobombus.ternarius     Gaylussacia.baccata            6
323      Pyrobombus.ternarius     Kalmia.angustifolia            3
325      Pyrobombus.ternarius            Spiraea.alba            7
328    Andrena.alleghaniensis   Nemopanthus.mucronata            6
333    Andrena.alleghaniensis      Aronia.melanocarpa            3
334    Andrena.alleghaniensis     Ledum.groenlandicum            2
339          Andrena.bradleyi          Salix.fragilis            5
340          Andrena.bradleyi Chamaedaphne.calyculata           25
343          Andrena.bradleyi        Kalmia.polifolia            2
345          Andrena.bradleyi  Vaccinium.myrtilloides           12
348          Andrena.bradleyi     Gaylussacia.baccata            4
352           Andrena.carlini          Salix.fragilis            1
353           Andrena.carlini Chamaedaphne.calyculata            6
354           Andrena.carlini   Nemopanthus.mucronata            2
358           Andrena.carlini  Vaccinium.myrtilloides            1
360           Andrena.carlini     Ledum.groenlandicum            1
365          Andrena.carolina          Salix.fragilis            1
371          Andrena.carolina  Vaccinium.myrtilloides            6
373          Andrena.carolina     Ledum.groenlandicum            4
374          Andrena.carolina     Gaylussacia.baccata            5
379      Andrena.mandibularis Chamaedaphne.calyculata            1
380      Andrena.mandibularis   Nemopanthus.mucronata            7
382      Andrena.mandibularis        Kalmia.polifolia           13
384      Andrena.mandibularis  Vaccinium.myrtilloides            1
386      Andrena.mandibularis     Ledum.groenlandicum            9
388      Andrena.mandibularis     Kalmia.angustifolia            3
392         Andrena.regularis Chamaedaphne.calyculata            4
393         Andrena.regularis   Nemopanthus.mucronata            1
395         Andrena.regularis        Kalmia.polifolia            6
397         Andrena.regularis  Vaccinium.myrtilloides           10
398         Andrena.regularis      Aronia.melanocarpa            7
399         Andrena.regularis     Ledum.groenlandicum           31
400         Andrena.regularis     Gaylussacia.baccata            7
404            Andrena.vicina          Salix.fragilis           11
405            Andrena.vicina Chamaedaphne.calyculata           19
406            Andrena.vicina   Nemopanthus.mucronata            4
408            Andrena.vicina        Kalmia.polifolia            1
410            Andrena.vicina  Vaccinium.myrtilloides            7
411            Andrena.vicina      Aronia.melanocarpa            1
412            Andrena.vicina     Ledum.groenlandicum           11
413            Andrena.vicina     Gaylussacia.baccata           29
417       Colletes.inaequalis          Salix.fragilis           51
418       Colletes.inaequalis Chamaedaphne.calyculata            6
423       Colletes.inaequalis  Vaccinium.myrtilloides           11
424       Colletes.inaequalis      Aronia.melanocarpa            2
425       Colletes.inaequalis     Ledum.groenlandicum            3
432         Dialictus.pilosus   Nemopanthus.mucronata            1
434         Dialictus.pilosus        Kalmia.polifolia            4
437         Dialictus.pilosus      Aronia.melanocarpa            7
